3Q

Абрис
АВ-Фарма
Аванта+
Аврора
Агросинтез
Азбука
АиР
Айрис-пресс
Академический Проект
Академия
Аквариум
Аквафор
Алгоритм
Аленка любит

Алина Нова Проф

Альпина Бизнес Букс

Альпина нон-фикшн

Альпина Паблишер
Альфа-книга
Амфора
Антология
АСТ
Атлант
Аэлита

Байкал

Банда Умников

Бархатные ручки

БелАгроТренд
Белагрохим
Беларускабель
Беларусмаш
Беларусь
Белита-М
Беллакт
Белорус
Белорусский лен
Белреахим
Белреахит
Белые Ночи
Биотехника

БХВ-Петербург
БШК (Белшина)

Вагриус
Велигор
Весь
Весь Мир
Вече
Витэкс
Витязь

Владос
Водолей

Воениздат
Волжанка
Восток
Гавриш
Гамма
Ганга 

Гарант

Гейзер
Гелеос
Генезис
Гілея

Городец
ДАРЪ
Двери Белоруссии
Дельта Терм
Дельтатерм
Детская литература
Диалектика
Диолд

Дніпро
Добрая книга
Дрофа
Евразия 

Ермак

Жокей
Захаров
Зеленая Аптека Садовода

Златоуст

Золоте Руно

ИжМаш
Известия
Издательский Дом Мещерякова
Издательство Европейского университета в Санкт-Петербурге
Издательство Ивана Лимбаха
Иностранка
Интерскол

Калитва

Кама

КАРО
Кедр

Кизляр

Клевер

Колибри
Лабиринт
Ладога
Ладомир
Лань
Лениздат
Лесной бальзам

Лого-Д
Ложка в ладошке

Луч

М.П.Студия

"Манн, Иванов и Фербер"
Мартин
Мастер Класс
Махаон
Мелик-Пашаев
Минск
Минск МТЗ
Минскинтеркапс
Мир
Мозаика-Синтез
Мозырьсоль
Молодая гвардия
МосАгро

Мысль
Наука
Национальные Белорусские традиции
Нева
Невская косметика
Невская палитра
НЕМАН

Нескучные игры

Новое литературное обозрение
Нокс

Норма
Нэст М

Образование
ОЖЗ Кузнецова

Олимп-Бизнес
Оникс

ОСЗ

Остров
Партнер

Питер
Плазменные семена
Полесье

Поликрафт 
Попурри

Правильные игры
Практик
Практика
Принцеса Гіта
Принцеса Канді
Принцесса Нури
Принцесса Ява
Прогресс
Просвещение
Проф-Пресс
Психотерапия
Радио и связь
Радуга
Расти малыш

Республика
Рецепты бабушки Агафьи
Речицкий текстиль
Речь
Рисуй Светом

Робинс

Росагросерви
РосКосметика
Росмаш
РосМед
Росмэн
Роспак
Ростех
Ростов Дон
Росток

Русская Блесна
Русская Искусница
Русская Правда 
Русский Огород
Русский язык
Руссобит-М
Самовар
Самоздрав

Санкт-Петербург
Свобода
Северная корона

СеДеК

Сибирский сад
Сибирское университетское издательство
СибрТех
Скифия
Слава
Смысл
Советский писатель
Современник
Сонет
Спектр
Станица
Стиль жизни

Сто рецептов красоты

СЭВИ

Тайга

Текст
Терра
ТехноНИКОЛЬ
ТЗСК

Титул

Тольятти
Триал Спорт
У-Фактория
Урал

Уралсталь

